Date,,Cases,Deaths,Recoveries,Active
30-01-2020,,1,0,0,1
02-02-2020,,2,0,0,2
03-02-2020,,3,0,0,3
02-03-2020,,6,0,1,5
03-03-2020,,9,0,1,8
04-03-2020,,32,0,1,31
05-03-2020,,33,0,2,31
06-03-2020,,34,0,2,33
07-03-2020,,37,0,2,35
08-03-2020,,43,0,5,38
09-03-2020,,50,0,5,45
10-03-2020,,60,0,5,55
12-03-2020,,73,1,5,67
13-03-2020,,81,1,5,75
14-03-2020,,97,2,8,87
15-03-2020,,107,2,17,88
16-03-2020,,118,2,17,99
17-03-2020,,137,3,17,117
18-03-2020,,151,3,18,130
19-03-2020,,173,4,20,149
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,?,,,
